district,attraction,style,budget,travel_route,weather
Parbat,Baglung,relaxation,821.23,,warm
Terhathum,Tinjure Milke Jaljale,relaxation,4177.63,,any
Parbat,Baglung,relaxation,2231.59,,any
Kathmandu,Garden of Dreams,relaxation,2573.76,,cold
Rukum,Khaptad National Park,relaxation,2251.05,Rukum,any
Saptari,Chure Hills,relaxation,3851.26,,warm
Kavrepalanchok,Dhulikhel,relaxation,1394.26,Kavrepalanchok to Sindhupalchok,any
Rukum,Khaptad National Park,relaxation,1960.31,,sunny
Kaski,Phewa Lake,relaxation,4051.15,,sunny
Parbat,Baglung,relaxation,3597.83,Parbat to Myagdi,sunny
Kavrepalanchok,Dhulikhel,relaxation,3586.75,Kavrepalanchok to Sindhupalchok to Kathmandu to Dhading,rainy
Saptari,Chure Hills,relaxation,3655.98,,cold
Rukum,Khaptad National Park,relaxation,4917.54,Rukum,cold
Lamjung,Begnas Lake,relaxation,596.09,Lamjung to Kaski to Manang,rainy
Lamjung,Begnas Lake,relaxation,3015.61,,warm
Dhankuta,Dhankuta Bazaar,relaxation,2946.29,,rainy
Terhathum,Tinjure Milke Jaljale,relaxation,809.94,,sunny
Ilam,Antu Danda,relaxation,2543.36,,cold
Lamjung,Begnas Lake,relaxation,4473.2,,warm
Dhankuta,Dhankuta Bazaar,relaxation,1943.12,Dhankuta to Sunsari to Siraha,sunny
Parbat,Baglung,relaxation,3258.68,,rainy
Kaski,Phewa Lake,relaxation,2854.4,Kaski to Tanahun,sunny
Terhathum,Tinjure Milke Jaljale,relaxation,1409.36,,warm
Dhankuta,Barju Taal,relaxation,3460.65,Dhankuta to Morang,warm
Jumla,Rara Lake,relaxation,3226.79,Jumla to Rukum East,sunny
Syangja,Dewashree Waterfall,relaxation,2606.27,,warm
Lamjung,Begnas Lake,relaxation,4199.12,,cold
Dhankuta,Barju Taal,relaxation,2880.59,Dhankuta to Sunsari,cold
Makwanpur,Hetauda,relaxation,955.51,,rainy
Rukum,Khaptad National Park,relaxation,3065.12,,any
Makwanpur,Hetauda,relaxation,3857.49,,cold
Saptari,Chure Hills,relaxation,3661.48,,warm
Parbat,Baglung,relaxation,2974.84,Parbat to Syangja to Tanahun to Gorkha,warm
Makwanpur,Hetauda,relaxation,4301.84,,warm
Terhathum,Tinjure Milke Jaljale,relaxation,3237.86,,warm
Parbat,Baglung,relaxation,2120.04,Parbat to Baglung,warm
Ilam,Tea Gardens,relaxation,2829.24,,any
Ilam,Tea Gardens,relaxation,1466.7,Ilam to Morang,rainy
Syangja,Dewashree Waterfall,relaxation,924.29,,warm
Ilam,Antu Danda,relaxation,4503.31,,rainy
Ilam,Tea Gardens,relaxation,3067.19,,warm
Kaski,Phewa Lake,relaxation,4068.07,Kaski to Lamjung to Gorkha to Tanahun,sunny
Lamjung,Begnas Lake,relaxation,853.15,Lamjung to Gorkha to Dhading,sunny
Syangja,Dewashree Waterfall,relaxation,4414.04,Syangja to Lamjung to Manang,rainy
Kathmandu,Garden of Dreams,relaxation,2859.73,,rainy
Jumla,Rara Lake,relaxation,1189.39,Jumla to Salyan,warm
Dhankuta,Dhankuta Bazaar,relaxation,1499.39,,rainy
Chitwan,Sauraha,relaxation,871.45,,warm
Tanahun,Bandipur Village,relaxation,882.86,Tanahun to Lamjung,warm
Kavrepalanchok,Dhulikhel,relaxation,2695.37,,warm
Dhankuta,Dhankuta Bazaar,relaxation,1590.42,,rainy
Saptari,Chure Hills,relaxation,1006.38,,warm
Rukum,Khaptad National Park,relaxation,2050.36,Rukum,warm
Jumla,Rara Lake,relaxation,3304.32,Jumla to Mugu,warm
Saptari,Chure Hills,relaxation,1201.96,,cold
Lamjung,Begnas Lake,relaxation,1593.72,,warm
Terhathum,Tinjure Milke Jaljale,relaxation,561.8,,warm
Kavrepalanchok,Dhulikhel,relaxation,602.37,,rainy
Rukum,Khaptad National Park,relaxation,2969.6,Rukum,warm
Lamjung,Begnas Lake,relaxation,2194.73,,any
Ilam,Tea Gardens,relaxation,770.5,Ilam to Jhapa,rainy
Kavrepalanchok,Dhulikhel,relaxation,799.69,Kavrepalanchok to Kathmandu to Lalitpur to Bhaktapur,warm
Ilam,Antu Danda,relaxation,1540.26,Ilam to Morang,rainy
Kavrepalanchok,Dhulikhel,relaxation,1338.88,,warm
Syangja,Dewashree Waterfall,relaxation,678.89,,any
Kavrepalanchok,Dhulikhel,relaxation,3849.76,Kavrepalanchok to Sindhuli to Mahottari,sunny
Rukum,Khaptad National Park,relaxation,4153.52,Rukum,warm
Makwanpur,Hetauda,relaxation,1515.12,,rainy
Chitwan,Sauraha,relaxation,3784.5,Chitwan to Nawalparasi to Gulmi to Arghakhanchi,warm
Dhankuta,Dhankuta Bazaar,relaxation,2419.09,,rainy
Kavrepalanchok,Dhulikhel,relaxation,1430.41,,sunny
Parbat,Baglung,relaxation,4381.64,Parbat to Myagdi to Manang,rainy
Syangja,Dewashree Waterfall,relaxation,3453.04,,warm
Kaski,Phewa Lake,relaxation,1328.61,,any
Kathmandu,Garden of Dreams,relaxation,4460.59,,warm
Kavrepalanchok,Dhulikhel,relaxation,1183.81,,sunny
Kathmandu,Garden of Dreams,relaxation,3225.22,,warm
Rukum,Khaptad National Park,relaxation,2116.68,,warm
Makwanpur,Hetauda,relaxation,3704.09,Makwanpur to Nawalparasi to Palpa,rainy
Chitwan,Sauraha,relaxation,1518.23,Chitwan to Dhading to Gorkha,warm
Lamjung,Begnas Lake,relaxation,3909.99,Lamjung to Manang,sunny
Kavrepalanchok,Dhulikhel,relaxation,4400.49,,any
Parbat,Baglung,relaxation,3235.68,Parbat to Baglung,any
Makwanpur,Hetauda,relaxation,2532.24,,any
Rukum,Khaptad National Park,relaxation,4927.24,,sunny
Parbat,Baglung,relaxation,1354.33,Parbat to Syangja to Lamjung,warm
Tanahun,Bandipur Village,relaxation,3259.1,,sunny
Chitwan,Sauraha,relaxation,4234.52,Chitwan to Nawalparasi,warm
Parbat,Baglung,relaxation,2268.8,,rainy
Kavrepalanchok,Dhulikhel,relaxation,4471.47,,sunny
Saptari,Chure Hills,relaxation,3732.69,,sunny
Kavrepalanchok,Dhulikhel,relaxation,883.88,Kavrepalanchok to Dolakha to Sindhupalchok to Langtang,cold
Makwanpur,Hetauda,relaxation,697.58,,sunny
Terhathum,Tinjure Milke Jaljale,relaxation,1229.56,Terhathum to Ilam,sunny
Ilam,Antu Danda,relaxation,3785.73,,any
Chitwan,Sauraha,relaxation,4543.44,,any
Parbat,Baglung,relaxation,554.93,,warm
Parbat,Baglung,relaxation,3235.93,,warm
Saptari,Chure Hills,relaxation,2541.82,,warm
Kathmandu,Garden of Dreams,relaxation,4469.76,,rainy
Terhathum,Tinjure Milke Jaljale,relaxation,720.13,Terhathum to Panchthar,sunny
Terhathum,Tinjure Milke Jaljale,relaxation,3501.48,,any
Syangja,Dewashree Waterfall,relaxation,720.64,,warm
Saptari,Chure Hills,relaxation,3249.9,,warm
Parbat,Baglung,relaxation,4848.32,,cold
Kathmandu,Garden of Dreams,relaxation,3958.3,Kathmandu to Nuwakot,rainy
Terhathum,Tinjure Milke Jaljale,relaxation,1817.75,Terhathum to Ilam to Panchthar,sunny
Tanahun,Bandipur Village,relaxation,3631.23,,warm
Lamjung,Begnas Lake,relaxation,2676.48,Lamjung to Syangja to Parbat to Kaski,warm
Terhathum,Tinjure Milke Jaljale,relaxation,1668.47,,warm
Syangja,Dewashree Waterfall,relaxation,3264.3,Syangja to Gulmi to Arghakhanchi,warm
Syangja,Dewashree Waterfall,relaxation,3688.64,,any
Kathmandu,Garden of Dreams,relaxation,3314.57,Kathmandu to Nuwakot to Rasuwa to Langtang,sunny
Jumla,Rara Lake,relaxation,3021.87,,warm
Rukum,Khaptad National Park,relaxation,1644.88,,sunny
Makwanpur,Hetauda,relaxation,3951.65,,sunny
Tanahun,Bandipur Village,relaxation,4244.19,Tanahun to Syangja to Parbat to Baglung,sunny
Saptari,Chure Hills,relaxation,2666.73,Saptari to Udayapur to Khotang,warm
Parbat,Baglung,relaxation,4675.05,,sunny
Dhankuta,Barju Taal,relaxation,2998.3,,sunny
Jumla,Rara Lake,relaxation,797.96,Jumla to Rukum East to Rolpa,sunny
Dhankuta,Barju Taal,relaxation,1343.21,Dhankuta to Udayapur to Sunsari,sunny
Ilam,Antu Danda,relaxation,890.59,,any
Terhathum,Tinjure Milke Jaljale,relaxation,1472.63,,rainy
Parbat,Baglung,relaxation,4000.06,,any
Kathmandu,Garden of Dreams,relaxation,4572.3,,sunny
Kavrepalanchok,Dhulikhel,relaxation,3989.9,Kavrepalanchok to Sindhuli to Dolakha to Sindhupalchok,sunny
Lamjung,Begnas Lake,relaxation,2567.16,,cold
Kathmandu,Garden of Dreams,relaxation,4695.52,,warm
Kaski,Phewa Lake,relaxation,2600.94,,sunny
Saptari,Chure Hills,relaxation,601.16,,cold
Rukum,Khaptad National Park,relaxation,1402.5,,rainy
Parbat,Baglung,relaxation,3520.06,,rainy
Kaski,Phewa Lake,relaxation,4812.34,,warm
Makwanpur,Hetauda,relaxation,2972.15,Makwanpur to Lalitpur to Kathmandu,rainy
Chitwan,Sauraha,relaxation,1901.2,,any
Kathmandu,Garden of Dreams,relaxation,630.47,,any
Tanahun,Bandipur Village,relaxation,887.54,Tanahun to Palpa to Nawalparasi to Rupandehi,rainy
Kavrepalanchok,Dhulikhel,relaxation,1905.98,Kavrepalanchok to Dolakha to Sindhupalchok to Langtang,any
Dhankuta,Dhankuta Bazaar,relaxation,918.12,Dhankuta to Bhojpur,any
Ilam,Antu Danda,relaxation,2617.46,,any
Syangja,Dewashree Waterfall,relaxation,4607.88,Syangja to Parbat to Myagdi to Manang,rainy
Kavrepalanchok,Dhulikhel,relaxation,794.14,,sunny
Terhathum,Tinjure Milke Jaljale,relaxation,1770.16,,rainy
Makwanpur,Hetauda,relaxation,2325.59,,cold
Makwanpur,Hetauda,relaxation,4065.94,,warm
Tanahun,Bandipur Village,relaxation,3293.94,Tanahun to Kaski to Manang,warm
Rukum,Khaptad National Park,relaxation,4029.41,Rukum,warm
Lamjung,Begnas Lake,relaxation,1278.88,Lamjung to Manang,warm
Terhathum,Tinjure Milke Jaljale,relaxation,1014.45,,warm
Kaski,Phewa Lake,relaxation,1292.78,,any
Kaski,Phewa Lake,relaxation,1973.34,,warm
Rukum,Khaptad National Park,relaxation,4492.68,,any
Kathmandu,Garden of Dreams,relaxation,3473.97,,warm
Dhankuta,Barju Taal,relaxation,1380.5,,warm
Dhankuta,Barju Taal,relaxation,4633.26,Dhankuta to Morang,any
Dhankuta,Dhankuta Bazaar,relaxation,3251.71,Dhankuta to Morang,warm
Jumla,Rara Lake,relaxation,503.79,Jumla to Kalikot,warm
Terhathum,Tinjure Milke Jaljale,relaxation,1558.59,,cold
Jumla,Rara Lake,relaxation,2327.15,,warm
Chitwan,Sauraha,relaxation,1125.81,Chitwan to Dhading to Gorkha,warm
Ilam,Tea Gardens,relaxation,1104.25,,sunny
Lamjung,Begnas Lake,relaxation,3460.67,,any
Chitwan,Sauraha,relaxation,4370.69,Chitwan to Nawalparasi to Gulmi,any
Makwanpur,Hetauda,relaxation,2984.23,,warm
Chitwan,Sauraha,relaxation,3220.58,Chitwan to Gorkha,warm
Tanahun,Bandipur Village,relaxation,650.58,,sunny
Jumla,Rara Lake,relaxation,3111.21,,any
Lamjung,Begnas Lake,relaxation,2592.21,Lamjung to Tanahun,sunny
Kavrepalanchok,Dhulikhel,relaxation,3578.33,,warm
Dhankuta,Dhankuta Bazaar,relaxation,4566.13,,warm
Kavrepalanchok,Dhulikhel,relaxation,3082.84,,rainy
Parbat,Baglung,relaxation,1801.44,Parbat to Kaski to Manang,sunny
Kaski,International Mountain Museum,cultural,3101.63,Kaski to Lamjung to Gorkha,cold
Kailali,Dhangadhi,cultural,1070.7,Kailali to Doti to Achham,sunny
Bara,Simraungadh,cultural,4360.36,,sunny
Sindhupalchok,Bhimeshwar,cultural,3466.2,,rainy
Dhanusha,Madhav Narayan Temple,cultural,1313.64,,cold
Mustang,Lo Manthang,cultural,3179.95,Mustang to Dolpa to Jumla,cold
Bajura,Badimalika Temple,cultural,1448.86,,cold
Mahottari,Bardibas,cultural,736.35,,warm
Achham,Mangalsen,cultural,2209.1,,cold
Nuwakot,Nuwakot Durbar,cultural,553.38,,any
Sindhuli,Sindhuligadhi Fort,cultural,938.14,,cold
Bajhang,Chainpur,cultural,2007.35,,sunny
Okhaldhunga,Chyangli,cultural,3979.18,Okhaldhunga to Solukhumbu to Khotang,cold
Sindhupalchok,Bhimeshwar,cultural,2964.26,Sindhupalchok to Langtang,cold
Banke,Tharu Cultural Museum,cultural,3584.75,Banke to Surkhet,rainy
Bhaktapur,Bhaktapur Durbar Square,cultural,3287.29,,sunny
Saptari,Rajbiraj,cultural,3686.34,Saptari to Udayapur,sunny
Sindhupalchok,Bhimeshwar,cultural,3630.44,,sunny
Chitwan,Elephant Breeding Center,cultural,4652.13,,sunny
Sindhuli,Sindhuligadhi Fort,cultural,1228.85,Sindhuli to Mahottari to Sarlahi,sunny
Kaski,International Mountain Museum,cultural,4800.23,,sunny
Kailali,Dhangadhi,cultural,3246.36,,sunny
Nuwakot,Nuwakot Durbar,cultural,1482.74,Nuwakot to Rasuwa to Langtang to Dhading,cold
Chitwan,Elephant Breeding Center,cultural,3071.05,,sunny
Kailali,Dhangadhi,cultural,3437.89,,sunny
Palpa,Rani Mahal,cultural,1182.23,,rainy
Kathmandu,Boudhanath Stupa,cultural,3684.23,,cold
Okhaldhunga,Chyangli,cultural,2930.58,Okhaldhunga to Khotang,sunny
Sunsari,Barahachhetra,cultural,2000.48,,rainy
Mustang,Tiji Festival,cultural,2905.82,,any
Doti,Jajarkot,cultural,3415.07,,sunny
Palpa,Tansen,cultural,1844.92,,rainy
Gorkha,Manakamana Temple,cultural,881.88,Gorkha to Lamjung,cold
Ramechhap,Tashi Ling Monastery,cultural,3738.83,,cold
Chitwan,Elephant Breeding Center,cultural,2748.58,Chitwan to Makwanpur,any
Dolakha,Kalinchowk Bhagwati Temple,cultural,2019.73,,cold
Saptari,Rajbiraj,cultural,4730.4,,cold
Siraha,Lahan,cultural,665.95,Siraha to Sunsari to Morang,sunny
Dhanusha,Janaki Temple,cultural,564.64,Dhanusha to Rautahat,cold
Makwanpur,Chitlang,cultural,4180.1,,sunny
Siraha,Lahan,cultural,4120.04,Siraha to Sunsari to Saptari to Morang,warm
Tanahun,Bandipur Village,cultural,1947.15,,any
Bhaktapur,Taumadhi Square,cultural,1280.51,,sunny
Dang,Deukhuri,cultural,3633.33,,cold
Bhaktapur,Bhaktapur Durbar Square,cultural,949.86,,cold
Makwanpur,Chitlang,cultural,4458.32,,sunny
Mustang,Kagbeni,cultural,3432.9,,cold
Achham,Mangalsen,cultural,1427.72,,cold
Dang,Deukhuri,cultural,4721.4,,cold
Sindhupalchok,Bhimeshwar,cultural,3254.22,Sindhupalchok to Rasuwa to Nuwakot,sunny
Kathmandu,Boudhanath Stupa,cultural,1560.38,,sunny
Banke,Tharu Cultural Museum,cultural,4382.29,,any
Doti,Jajarkot,cultural,1743.92,Doti to Kailali to Achham to Bajura,sunny
Makwanpur,Chitlang,cultural,743.12,,rainy
Mahottari,Bardibas,cultural,3275.69,,cold
Banke,Tharu Cultural Museum,cultural,4661.88,Banke to Jajarkot,sunny
Tanahun,Bandipur Village,cultural,4527.86,,cold
Sindhuli,Sindhuligadhi Fort,cultural,1394.38,,cold
Tanahun,Damauli,cultural,1525.02,,sunny
Ramechhap,Tashi Ling Monastery,cultural,4511.14,,sunny
Kaski,International Mountain Museum,cultural,1152.24,,any
Palpa,Rani Mahal,cultural,1113.82,,cold
Bara,Simraungadh,cultural,2011.51,,sunny
Bara,Simraungadh,cultural,999.99,,warm
Dolakha,Kalinchowk Bhagwati Temple,cultural,4488.84,Dolakha to Ramechhap to Kavrepalanchok to Sindhupalchok,cold
Dang,Deukhuri,cultural,4379.9,,sunny
Doti,Jajarkot,cultural,565.27,Doti to Achham,warm
Bajhang,Chainpur,cultural,4513.2,,cold
Kathmandu,Swayambhunath,cultural,4910.83,,sunny
Nawalparasi,Lumbini,cultural,2415.64,Nawalparasi to Chitwan to Gorkha to Dhading,rainy
Dhanusha,Janaki Temple,cultural,3013.19,Dhanusha to Mahottari,sunny
Gorkha,Manakamana Temple,cultural,1575.78,,any
Sarlahi,Malangwa,cultural,3664.87,Sarlahi to Dhanusha,cold
Doti,Jajarkot,cultural,4433.9,Doti to Kailali to Darchula,warm
Kathmandu,Boudhanath Stupa,cultural,818.14,,cold
Bhaktapur,Nyatapola Temple,cultural,2416.56,Bhaktapur to Sindhupalchok to Nuwakot to Rasuwa,sunny
Mustang,Kagbeni,cultural,4463.81,,cold
Lamjung,Madhya Nepal,cultural,999.35,,rainy
Lamjung,Madhya Nepal,cultural,1288.7,,cold
Saptari,Rajbiraj,cultural,4915.63,,sunny
Achham,Mangalsen,cultural,3889.28,,cold
Bara,Simraungadh,cultural,1747.15,,sunny
Kailali,Dhangadhi,cultural,2615.74,Kailali to Darchula to Bajura,cold
Chitwan,Elephant Breeding Center,cultural,4513.56,,warm
Sindhupalchok,Bhimeshwar,cultural,4812.15,,sunny
Tanahun,Bandipur Village,cultural,2733.48,,cold
Lalitpur,Hiranya Varna Mahavihar (Golden Temple),cultural,2374.41,Lalitpur to Bhaktapur to Sindhupalchok,cold
Bajura,Badimalika Temple,cultural,1811.83,Bajura to Doti,sunny
Dang,Deukhuri,cultural,3450.92,,cold
Sankhuwasabha,Khandbari,cultural,2561.03,Sankhuwasabha to Solukhumbu to Okhaldhunga,cold
Siraha,Lahan,cultural,2173.56,Siraha to Dhanusha,sunny
Rautahat,Rajdevi Temple,cultural,4802.96,,cold
Sunsari,Barahachhetra,cultural,1320.26,Sunsari to Dhankuta to Morang,sunny
Dhanusha,Janaki Temple,cultural,685.18,,rainy
Mahottari,Bardibas,cultural,1330.23,,cold
Sindhuli,Sindhuligadhi Fort,cultural,1165.75,Sindhuli to Dolakha to Sindhupalchok to Kathmandu,warm
Okhaldhunga,Chyangli,cultural,3958.33,Okhaldhunga to Khotang,any
Sunsari,Barahachhetra,cultural,3412.6,Sunsari to Dhankuta to Bhojpur,sunny
Bajura,Badimalika Temple,cultural,3601.16,Bajura to Bajhang,cold
Sarlahi,Malangwa,cultural,2307.33,,cold
Mustang,Tiji Festival,cultural,747.65,,cold
Siraha,Lahan,cultural,1380.72,Siraha to Sunsari to Morang,sunny
Nawalparasi,Devghat,cultural,1375.03,,rainy
Kaski,International Mountain Museum,cultural,2289.01,,cold
Palpa,Rani Mahal,cultural,554.86,,rainy
Bajura,Badimalika Temple,cultural,1470.63,Bajura to Darchula to Kailali,cold
Makwanpur,Chitlang,cultural,3778.72,Makwanpur to Chitwan to Nawalparasi to Palpa,warm
Sarlahi,Malangwa,cultural,4947.72,,cold
Palpa,Tansen,cultural,529.78,,cold
Sindhupalchok,Bhimeshwar,cultural,3696.11,,cold
Sindhupalchok,Bhimeshwar,cultural,1802.58,Sindhupalchok to Bhaktapur to Lalitpur,warm
Kailali,Dhangadhi,cultural,1510.34,,cold
Sarlahi,Malangwa,cultural,1058.8,,cold
Sindhupalchok,Bhimeshwar,cultural,4580.57,,cold
Bara,Simraungadh,cultural,4974.5,Bara to Rautahat to Dhanusha to Mahottari,sunny
Achham,Mangalsen,cultural,2179.41,,cold
Mahottari,Bardibas,cultural,3117.45,,sunny
Kavrepalanchok,Namobuddha Monastery,cultural,1234.89,,sunny
Gorkha,Gorkha Durbar,cultural,1804.35,Gorkha to Tanahun to Lamjung to Kaski,cold
Makwanpur,Chitlang,cultural,4425.99,Makwanpur to Parsa to Bara,cold
Banke,Tharu Cultural Museum,cultural,4204.92,,sunny
Lamjung,Madhya Nepal,cultural,2353.98,,any
Saptari,Rajbiraj,cultural,2765.22,Saptari to Morang,cold
Sankhuwasabha,Khandbari,cultural,2378.06,,any
Kavrepalanchok,Namobuddha Monastery,cultural,2657.83,,rainy
Bajura,Badimalika Temple,cultural,1274.93,Bajura to Achham,rainy
Kavrepalanchok,Namobuddha Monastery,cultural,3596.21,,rainy
Mustang,Tiji Festival,cultural,3608.68,,cold
Achham,Mangalsen,cultural,691.33,Achham to Kailali to Kanchanpur to Dadeldhura,sunny
Tanahun,Damauli,cultural,694.77,,rainy
Banke,Tharu Cultural Museum,cultural,4640.44,Banke to Dang,sunny
Lalitpur,Patan Durbar Square,cultural,1155.01,,cold
Gorkha,Manakamana Temple,cultural,1222.51,Gorkha to Dhading,cold
Chitwan,Elephant Breeding Center,cultural,4188.14,,cold
Ramechhap,Tashi Ling Monastery,cultural,1272.98,,cold
Banke,Tharu Cultural Museum,cultural,4642.15,,cold
Sindhupalchok,Bhimeshwar,cultural,3530.87,Sindhupalchok to Langtang to Rasuwa,sunny
Nawalparasi,Lumbini,cultural,2334.1,,cold
Doti,Jajarkot,cultural,2838.77,,warm
Rautahat,Rajdevi Temple,cultural,870.12,,warm
Doti,Jajarkot,cultural,3591.71,,cold
Dang,Deukhuri,cultural,4932.33,Dang to Pyuthan,warm
Sindhupalchok,Bhimeshwar,cultural,4994.25,,warm
Bajura,Badimalika Temple,cultural,1036.48,Bajura to Achham,rainy
Chitwan,Elephant Breeding Center,cultural,4888.43,,rainy
Okhaldhunga,Chyangli,cultural,1547.91,,warm
Bara,Simraungadh,cultural,2102.44,Bara to Makwanpur to Parsa,cold
Nuwakot,Nuwakot Durbar,cultural,986.17,,sunny
Kavrepalanchok,Namobuddha Monastery,cultural,948.22,,sunny
Lalitpur,Patan Durbar Square,cultural,2221.85,,cold
Banke,Tharu Cultural Museum,cultural,3474.86,,cold
Doti,Jajarkot,cultural,1821.03,,warm
Sunsari,Barahachhetra,cultural,4142.67,,cold
Bhaktapur,Nyatapola Temple,cultural,4460.57,,sunny
Palpa,Rani Mahal,cultural,2568.45,,sunny
Sarlahi,Malangwa,cultural,2711.66,Sarlahi to Mahottari to Rautahat,sunny
Syangja,Galeshwor Temple,cultural,2641.6,,cold
Okhaldhunga,Chyangli,cultural,2726.11,,any
Gorkha,Manakamana Temple,cultural,1942.17,,sunny
Lamjung,Madhya Nepal,cultural,4142.99,Lamjung to Syangja to Parbat to Baglung,cold
Bajhang,Chainpur,cultural,4963.75,,warm
Dhanusha,Janaki Temple,cultural,1555.8,,rainy
Chitwan,Elephant Breeding Center,cultural,1015.12,,sunny
Bhaktapur,Nyatapola Temple,cultural,3459.96,,warm
Dang,Deukhuri,cultural,591.81,,warm
Sindhuli,Sindhuligadhi Fort,cultural,3066.59,,rainy
Kailali,Dhangadhi,cultural,3608.89,,sunny
Dolakha,Kalinchowk Bhagwati Temple,cultural,3266.73,,rainy
Kailali,Dhangadhi,cultural,4281.71,,cold
Kaski,International Mountain Museum,cultural,4983.02,,warm
Mustang,Kagbeni,cultural,4298.84,,sunny
Chitwan,Elephant Breeding Center,cultural,2421.98,,rainy
Sarlahi,Malangwa,cultural,2448.1,,cold
Okhaldhunga,Chyangli,cultural,3312.34,Okhaldhunga to Khotang,warm
Sankhuwasabha,Khandbari,cultural,3095.79,Sankhuwasabha to Dhankuta to Udayapur to Saptari,sunny
Kaski,Devis Fall,cultural,2139.24,,sunny
Sarlahi,Malangwa,cultural,2346.17,Sarlahi to Mahottari to Rautahat to Makwanpur,cold
Rautahat,Rajdevi Temple,cultural,1654.01,,cold
Tanahun,Bandipur Village,cultural,1363.62,Tanahun to Syangja to Gulmi,sunny
Bajhang,Chainpur,cultural,3411.15,,sunny
Kavrepalanchok,Namobuddha Monastery,cultural,1662.79,Kavrepalanchok to Sindhuli,cold
Bhaktapur,Taumadhi Square,cultural,2686.29,Bhaktapur to Lalitpur,sunny
Sarlahi,Malangwa,cultural,4552.59,,warm
Mustang,Tiji Festival,cultural,4744.23,,cold
Tanahun,Bandipur Village,cultural,2848.81,Tanahun to Gorkha to Dhading to Kathmandu,cold
Dhanusha,Janaki Temple,cultural,3979.36,Dhanusha to Rautahat to Parsa to Makwanpur,rainy
Saptari,Rajbiraj,cultural,980.66,,sunny
Dang,Deukhuri,cultural,4383.05,,sunny
Tanahun,Damauli,cultural,2955.85,,warm
Bara,Simraungadh,cultural,2133.49,Bara to Makwanpur,cold
Bhaktapur,Taumadhi Square,cultural,3480.01,Bhaktapur to Kathmandu to Nuwakot to Sindhupalchok,any
Palpa,Rani Mahal,cultural,3375.27,Palpa to Tanahun to Chitwan to Nawalparasi,cold
Bajura,Badimalika Temple,cultural,535.4,Bajura to Doti to Bajhang,any
Dhanusha,Madhav Narayan Temple,cultural,1446.74,Dhanusha to Sarlahi to Ramechhap to Sindhuli,cold
Bara,Simraungadh,cultural,4204.39,,any
Dang,Deukhuri,cultural,3728.24,Dang to Pyuthan,cold
Nawalparasi,Lumbini,cultural,2083.35,Nawalparasi to Gulmi to Rolpa,cold
Lalitpur,Patan Durbar Square,cultural,3386.18,,sunny
Kavrepalanchok,Namobuddha Monastery,cultural,2302.98,,cold
Mustang,Lo Manthang,cultural,1210.2,Mustang to Jumla to Salyan,cold
Dang,Deukhuri,cultural,2531.7,,cold
Sindhupalchok,Bhimeshwar,cultural,4097.88,,sunny
Sindhupalchok,Bhimeshwar,cultural,4443.76,Sindhupalchok to Kathmandu,any
Lalitpur,Bhaktapur Durbar Square,cultural,3411.98,Lalitpur to Kathmandu to Nuwakot,cold
Makwanpur,Chitlang,cultural,2304.66,,warm
Mustang,Tiji Festival,cultural,1265.55,,cold
Sankhuwasabha,Khandbari,cultural,3980.12,Sankhuwasabha to Taplejung to Morang,any
Saptari,Rajbiraj,cultural,4757.24,,cold
Kailali,Dhangadhi,cultural,1085.9,,cold
Rautahat,Rajdevi Temple,cultural,2382.49,,warm
Rautahat,Rajdevi Temple,cultural,1559.69,,warm
Doti,Jajarkot,cultural,546.44,,sunny
Okhaldhunga,Chyangli,cultural,3710.01,Okhaldhunga to Khotang,cold
Banke,Tharu Cultural Museum,cultural,734.51,,any
Gorkha,Gorkha Durbar,cultural,524.12,,cold
Okhaldhunga,Chyangli,cultural,1095.07,,cold
Sindhupalchok,Bhimeshwar,cultural,1264.4,,warm
Doti,Jajarkot,cultural,903.42,,cold
Mahottari,Bardibas,cultural,1909.71,,any
Bara,Simraungadh,cultural,4668.07,Bara to Rautahat to Mahottari to Sarlahi,sunny
Makwanpur,Chitlang,cultural,3815.91,Makwanpur to Nawalparasi to Chitwan to Gorkha,warm
Nuwakot,Nuwakot Durbar,cultural,1534.37,,sunny
Doti,Jajarkot,cultural,1022.11,,cold
Bajura,Badimalika Temple,cultural,4949.68,,cold
Tanahun,Bandipur Village,cultural,1056.44,Tanahun to Lamjung,sunny
Nawalparasi,Devghat,cultural,3034.61,,cold
Kathmandu,Boudhanath Stupa,cultural,3950.81,Kathmandu to Nuwakot,sunny
Banke,Tharu Cultural Museum,cultural,616.83,Banke to Dang to Pyuthan,cold
Banke,Tharu Cultural Museum,cultural,1191.99,Banke to Salyan,sunny
Doti,Jajarkot,cultural,3173.92,Doti to Kailali to Achham to Bajura,sunny
Saptari,Rajbiraj,cultural,4107.01,Saptari to Siraha to Sunsari to Morang,sunny
Okhaldhunga,Chyangli,cultural,1301.05,Okhaldhunga to Khotang,any
Saptari,Rajbiraj,cultural,2248.26,,warm
Nuwakot,Nuwakot Durbar,cultural,1843.46,Nuwakot to Dhading to Gorkha,cold
Banke,Tharu Cultural Museum,cultural,2806.94,Banke to Dang to Pyuthan,warm
Bajhang,Chainpur,cultural,3904.21,,cold
Bajhang,Chainpur,cultural,918.26,Bajhang to Doti to Kailali to Darchula,cold
Nuwakot,Nuwakot Durbar,cultural,2872.75,,cold
Doti,Jajarkot,cultural,856.32,,cold
Kavrepalanchok,Namobuddha Monastery,cultural,4286.92,,cold
