Name,City,District,Type,BestTimeToVisit
Simikot,Humla,Humla,Adventure,Winter
Saipal Base Camp,Bajhang,Bajhang,Adventure,All Year
Tallo Dungeshwor,Dhading,Dhading,Adventure,All Year
Janaki Mandir,Dhanusha,Dhanusha,Cultural,Monsoon
Chamunda Temple,Sindhupalchok,Sindhupalchok,Religious,Monsoon
Pulchowki Hill,Lalitpur,Lalitpur,Wildlife,Autumn
International Mountain Museum,Kaski,Kaski,Adventure,All Year
Sindure Pokhari,Unknown,Unknown,Historical,Spring
Boudhanath Stupa,Kathmandu,Kathmandu,Natural,Spring
Chhimkeshwori,Dhading,Dhading,Historical,Spring
Chitwan National Park,Chitwan,Chitwan,Cultural,All Year
Maula Kalika Temple,Parbat,Parbat,Religious,Autumn
Rukumkot,Rukum,Rukum,Religious,Autumn
Sirubari,Syangja,Syangja,Natural,Spring
Rupa Lake,Kaski,Kaski,Historical,Monsoon
Namobuddha,Kavrepalanchok,Kavrepalanchok,Adventure,Spring
Khaptad Baba Ashram,Doti,Doti,Adventure,Winter
Garden of Dreams,Kathmandu,Kathmandu,Cultural,Winter
Resunga,Gulmi,Gulmi,Religious,Spring
Bhotekoshi Bungee Jump,Sindhupalchok,Sindhupalchok,Cultural,Autumn
Kharpunath,Darchula,Darchula,Cultural,Autumn
Rukumkot,Rukum,Rukum,Historical,Autumn
Khaireni Hill,Chitwan,Chitwan,Adventure,Spring
Seti River Gorge,Doti,Doti,Wildlife,All Year
Ashoka Pillar,Rupandehi,Rupandehi,Religious,Spring
Sarangkot,Kaski,Kaski,Cultural,Spring
Bhairabi Temple,Dolakha,Dolakha,Religious,Winter
Bhimsen Temple,Bhaktapur,Bhaktapur,Historical,Autumn
Koshi Tappu Wildlife Reserve,Sunsari,Sunsari,Religious,All Year
Siddha Gufa,Palpa,Palpa,Cultural,Winter
Kapuche Glacier Lake,Dolpa,Dolpa,Cultural,Monsoon
Barpak,Gorkha,Gorkha,Natural,Spring
Rani Mahal,Palpa,Palpa,Historical,Autumn
Ramaroshan Wetland,Achham,Achham,Adventure,Monsoon
Manakamana Temple,Gorkha,Gorkha,Adventure,Autumn
Gorkha Durbar,Gorkha,Gorkha,Natural,Autumn
Api Base Camp,Darchula,Darchula,Natural,Spring
Kamalbari Lake,Myagdi,Myagdi,Cultural,Spring
Daunne Hill,Chitwan,Chitwan,Natural,Monsoon
Maula Kalika Temple,Parbat,Parbat,Historical,Autumn
Tatopani,Myagdi,Myagdi,Adventure,All Year
Namche Bazaar,Solukhumbu,Solukhumbu,Cultural,Spring
Naag Pokhari,Kathmandu,Kathmandu,Natural,Spring
Tengboche Monastery,Solukhumbu,Solukhumbu,Cultural,Monsoon
Dodhara Chandani Bridge,Kailali,Kailali,Cultural,Monsoon
Panchthar Tea Garden,Panchthar,Panchthar,Cultural,Monsoon
Bishazari Tal,Chitwan,Chitwan,Cultural,Monsoon
Guerrilla Trek,Rolpa,Rolpa,Historical,Autumn
Ghodepani,Kaski,Kaski,Historical,All Year
Nuwakot Trishuli Dam,Nuwakot,Nuwakot,Wildlife,All Year
Chhimkeshwori,Dhading,Dhading,Wildlife,All Year
Tamang Heritage Trail,Rasuwa,Rasuwa,Religious,Winter
Maula Kalika Temple,Parbat,Parbat,Religious,Autumn
Soti Khola,Solukhumbu,Solukhumbu,Religious,Spring
Rani Mahal,Palpa,Palpa,Historical,Autumn
Tamang Heritage Trail,Rasuwa,Rasuwa,Adventure,Winter
Bhojpur Bazaar,Bhojpur,Bhojpur,Wildlife,Spring
Muktinath Temple,Mustang,Mustang,Adventure,Spring
Salyan Khalanga,Salyan,Salyan,Cultural,Spring
Bageshwori Temple,Banke,Banke,Cultural,Spring
Sitalpati Market,Jhapa,Jhapa,Cultural,Winter
Pashupatinath Temple,Kathmandu,Kathmandu,Religious,Monsoon
Triveni Dham,Darchula,Darchula,Historical,Autumn
Lo Manthang,Mustang,Mustang,Wildlife,Winter
Nyatapola Temple,Bhaktapur,Bhaktapur,Natural,Winter
Guerrilla Trek,Rolpa,Rolpa,Wildlife,Monsoon
Timal Danda,Unknown,Unknown,Cultural,All Year
International Mountain Museum,Kaski,Kaski,Cultural,Monsoon
Kulekhani Reservoir,Makwanpur,Makwanpur,Wildlife,Spring
Swargadwari,Pyuthan,Pyuthan,Historical,Autumn
Laprak,Gorkha,Gorkha,Cultural,All Year
Taudaha Lake,Kathmandu,Kathmandu,Adventure,Autumn
Kangchenjunga Base Camp,Taplejung,Taplejung,Religious,Spring
Tansen Bazaar,Palpa,Palpa,Historical,Autumn
Siddha Gufa,Palpa,Palpa,Historical,All Year
International Mountain Museum,Kaski,Kaski,Historical,Monsoon
Diktel Bazaar,Khotang,Khotang,Cultural,All Year
Soti Khola,Solukhumbu,Solukhumbu,Wildlife,Winter
Badimalika Temple,Doti,Doti,Historical,Winter
Chepang Hill Trail,Chitwan,Chitwan,Historical,Monsoon
Bindhyabasini Temple,Kaski,Kaski,Natural,Monsoon
Nyatapola Temple,Bhaktapur,Bhaktapur,Cultural,Monsoon
Baundeshwor Cave,Chitwan,Chitwan,Natural,Spring
Gokyo Lakes,Solukhumbu,Solukhumbu,Religious,Spring
Rani Pokhari,Kathmandu,Kathmandu,Cultural,Winter
Bhotekoshi Bungee Jump,Sindhupalchok,Sindhupalchok,Natural,All Year
Api Base Camp,Darchula,Darchula,Adventure,Winter
Swayambhunath Stupa,Kathmandu,Kathmandu,Historical,Winter
Sarangkot,Kaski,Kaski,Adventure,Spring
Tengboche Monastery,Solukhumbu,Solukhumbu,Cultural,Winter
Rukumkot,Rukum,Rukum,Wildlife,Spring
Dhorpatan Valley,Baglung,Baglung,Adventure,Winter
Silichho Peak,Dolakha,Dolakha,Cultural,Autumn
Patal Bhuvaneshwor Cave,Lalitpur,Lalitpur,Religious,Spring
Khaireni Hill,Chitwan,Chitwan,Historical,All Year
Bhairabi Temple,Dolakha,Dolakha,Adventure,Monsoon
Bhaktapur Durbar Square,Bhaktapur,Bhaktapur,Adventure,Spring
Badhaiya Tal,Rukum,Rukum,Religious,All Year
Maipokhari,Ilam,Ilam,Natural,Spring
Lumbini - Birthplace of Buddha,Rupandehi,Rupandehi,Adventure,Monsoon
Resunga,Gulmi,Gulmi,Natural,All Year
Barpak Village,Gorkha,Gorkha,Religious,All Year
Tsum Valley,Gorkha,Gorkha,Cultural,Spring
Resunga,Gulmi,Gulmi,Cultural,Winter
Khopra Danda,Syangja,Syangja,Natural,Autumn
Kalinchowk,Dolakha,Dolakha,Wildlife,Autumn
Baglung Kalika Temple,Baglung,Baglung,Historical,Winter
Bhedetar View Tower,Dhankuta,Dhankuta,Cultural,Spring
Rangeli,Morang,Morang,Natural,Autumn
Siruwa Pokhari,Makwanpur,Makwanpur,Wildlife,Autumn
Tansen Bazaar,Palpa,Palpa,Adventure,Spring
Dudh Kunda,Sankhuwasabha,Sankhuwasabha,Historical,Autumn
Boudhanath Stupa,Kathmandu,Kathmandu,Historical,Spring
Nuwakot Palace Complex,Nuwakot,Nuwakot,Adventure,Winter
Sarangkot,Kaski,Kaski,Wildlife,Autumn
Ramaroshan Wetland,Achham,Achham,Religious,All Year
Siruwa Pokhari,Makwanpur,Makwanpur,Religious,Winter
Bhujung Village,Lamjung,Lamjung,Natural,Monsoon
Tengboche Monastery,Solukhumbu,Solukhumbu,Religious,Winter
Seti River Gorge,Doti,Doti,Natural,Spring
Khaptad Baba Ashram,Doti,Doti,Natural,All Year
Tsho Rolpa Lake,Ramechhap,Ramechhap,Historical,Winter
Simbuwa Khola Valley,Terhathum,Terhathum,Natural,Winter
Shivapuri Nagarjun National Park,Kathmandu,Kathmandu,Historical,All Year
Birgunj Clock Tower,Parsa,Parsa,Adventure,Winter
Khandadevi Temple,Ramechhap,Ramechhap,Religious,Spring
Mohare Danda,Syangja,Syangja,Historical,All Year
Bajura Budhinanda Lake,Bajura,Bajura,Wildlife,Monsoon
Ruru Kshetra,Gulmi,Gulmi,Wildlife,Monsoon
Kalinchowk,Dolakha,Dolakha,Natural,Spring
Kalinchowk,Dolakha,Dolakha,Cultural,Autumn
Dhorpatan Valley,Baglung,Baglung,Historical,Spring
Chandannath Temple,Jajarkot,Jajarkot,Natural,All Year
Numbur Cheese Circuit,Ramechhap,Ramechhap,Historical,Autumn
Sirubari,Syangja,Syangja,Adventure,Monsoon
Temke Dada,Sankhuwasabha,Sankhuwasabha,Wildlife,Monsoon
Swargadwari,Pyuthan,Pyuthan,Historical,Autumn
Khandadevi Temple,Ramechhap,Ramechhap,Cultural,Winter
Ranighat Palace,Nawalpur,Nawalpur,Natural,All Year
Salpa Pokhari,Dolakha,Dolakha,Natural,Autumn
Nagi Village,Myagdi,Myagdi,Natural,Spring
Badimalika Temple,Doti,Doti,Adventure,All Year
Khaptad National Park,Doti,Doti,Wildlife,Winter
Budhi Gandaki Valley,Gorkha,Gorkha,Cultural,All Year
Pashupatinath Temple,Kathmandu,Kathmandu,Historical,Autumn
Langtang National Park,Rasuwa,Rasuwa,Natural,Spring
Phulchowki Botanical Garden,Lalitpur,Lalitpur,Natural,Winter
Badimalika Temple,Doti,Doti,Wildlife,Monsoon
Silichho Peak,Dolakha,Dolakha,Wildlife,Monsoon
Bhotekoshi Bungee Jump,Sindhupalchok,Sindhupalchok,Adventure,All Year
Chhintang,Sankhuwasabha,Sankhuwasabha,Historical,Autumn
Dhorpatan Valley,Baglung,Baglung,Adventure,Spring
Antu Danda,Ilam,Ilam,Adventure,Autumn
Hiranya Varna Mahavihar,Kathmandu,Kathmandu,Wildlife,All Year
Baraha Kshetra,Sunsari,Sunsari,Historical,Winter
Dudh Kunda,Sankhuwasabha,Sankhuwasabha,Religious,Autumn
Taudaha Lake,Kathmandu,Kathmandu,Historical,Monsoon
International Mountain Museum,Kaski,Kaski,Natural,Autumn
Sundarijal,Kathmandu,Kathmandu,Adventure,All Year
Pulchowki Hill,Lalitpur,Lalitpur,Cultural,Monsoon
Ram Mandir,Kathmandu,Kathmandu,Religious,Spring
Sirubari,Syangja,Syangja,Historical,Spring
Khaireni Hill,Chitwan,Chitwan,Wildlife,Autumn
Bhairabi Temple,Dolakha,Dolakha,Religious,Winter
Rukumkot,Rukum,Rukum,Adventure,Monsoon
Chhahara Waterfall,Rukum,Rukum,Wildlife,All Year
Poon Hill,Kaski,Kaski,Historical,All Year
Khopra Danda,Syangja,Syangja,Natural,Autumn
Kapilvastu Ruins,Kapilvastu,Kapilvastu,Cultural,Monsoon
Baraha Kshetra,Sunsari,Sunsari,Wildlife,Monsoon
Panauti,Kavrepalanchok,Kavrepalanchok,Wildlife,Autumn
Ghale Gaun,Lamjung,Lamjung,Religious,Winter
Barpak Village,Gorkha,Gorkha,Wildlife,Spring
Bhairabi Temple,Dolakha,Dolakha,Wildlife,Autumn
Maula Kalika Temple,Parbat,Parbat,Wildlife,Monsoon
Rukumkot,Rukum,Rukum,Religious,All Year
Bardia National Park,Bardiya,Bardiya,Historical,Spring
Birgunj Clock Tower,Parsa,Parsa,Historical,Monsoon
Tallo Dungeshwor,Dhading,Dhading,Wildlife,Spring
Hiranya Varna Mahavihar,Kathmandu,Kathmandu,Adventure,Winter
Ramdhuni Mandir,Sunsari,Sunsari,Historical,Winter
Tatopani,Myagdi,Myagdi,Natural,Winter
Bhanbhane Pokhari,Okhaldhunga,Okhaldhunga,Natural,Winter
Pulchowki Hill,Lalitpur,Lalitpur,Wildlife,All Year
Ringmo Village,Dolpa,Dolpa,Religious,Spring
Kushma Cliff Bridge,Parbat,Parbat,Historical,All Year
Gokyo Lakes,Solukhumbu,Solukhumbu,Wildlife,Monsoon
Arun Valley,Sankhuwasabha,Sankhuwasabha,Religious,All Year
Sindure Pokhari,Unknown,Unknown,Wildlife,Winter
Resunga,Gulmi,Gulmi,Wildlife,Monsoon
Jomsom,Mustang,Mustang,Adventure,Autumn
Kanyam Tea Garden,Ilam,Ilam,Adventure,Spring
Deurali Gumba,Syangja,Syangja,Historical,Monsoon
Sailung,Dolakha,Dolakha,Adventure,All Year
Kharpunath,Darchula,Darchula,Religious,Monsoon
Khokana,Lalitpur,Lalitpur,Wildlife,Autumn
Makalu Base Camp,Sankhuwasabha,Sankhuwasabha,Religious,Monsoon
Daunne Hill,Chitwan,Chitwan,Historical,Monsoon
Khaptad Baba Ashram,Doti,Doti,Natural,Monsoon
Ghodepani,Kaski,Kaski,Cultural,Autumn
Kangchenjunga Base Camp,Taplejung,Taplejung,Cultural,Winter
Gosaikunda,Rasuwa,Rasuwa,Adventure,Spring
Manaslu Base Camp,Gorkha,Gorkha,Cultural,All Year
Simbuwa Khola Valley,Terhathum,Terhathum,Adventure,Spring
Rukumkot,Rukum,Rukum,Wildlife,Winter
Balmiki Ashram,Kapilvastu,Kapilvastu,Natural,Autumn
Charikot,Dolakha,Dolakha,Natural,Autumn
Maula Kalika Temple,Parbat,Parbat,Natural,Monsoon
Timal Danda,Unknown,Unknown,Wildlife,Monsoon
Kalinchowk,Dolakha,Dolakha,Wildlife,Monsoon
Pashupatinath Temple,Kathmandu,Kathmandu,Cultural,Autumn
Tila River Valley,Jumla,Jumla,Adventure,Winter
Siddha Cave,Bajhang,Bajhang,Religious,Spring
Hanuman Dhoka,Kathmandu,Kathmandu,Historical,Autumn
Phewa Lake,Kaski,Kaski,Adventure,All Year
Arun Valley,Sankhuwasabha,Sankhuwasabha,Natural,Winter
Kapuche Glacier Lake,Dolpa,Dolpa,Natural,Winter
Bhujung Village,Lamjung,Lamjung,Adventure,Spring
Sitalpati Market,Jhapa,Jhapa,Natural,All Year
Jalbire Waterfall,Sindhupalchok,Sindhupalchok,Historical,Monsoon
Basantapur,Unknown,Unknown,Natural,All Year
Hanuman Dhoka,Kathmandu,Kathmandu,Historical,Monsoon
Belbari Forest,Morang,Morang,Religious,Winter
Chandannath Temple,Jajarkot,Jajarkot,Natural,Autumn
Mohare Danda,Syangja,Syangja,Religious,Winter
Tsum Valley,Gorkha,Gorkha,Adventure,Monsoon
Pathibhara Devi Temple,Taplejung,Taplejung,Wildlife,Autumn
Poon Hill,Kaski,Kaski,Historical,Spring
Rani Pokhari,Kathmandu,Kathmandu,Religious,Monsoon
Namche Bazaar,Solukhumbu,Solukhumbu,Adventure,Monsoon
Siddha Gufa,Palpa,Palpa,Natural,Autumn
Chhimkeshwori Hill,Dhading,Dhading,Cultural,All Year
Khaireni Hill,Chitwan,Chitwan,Religious,All Year
Rara Lake,Mugu,Mugu,Historical,All Year
Dodhara Chandani Bridge,Kailali,Kailali,Adventure,Autumn
Tindhare Waterfall,Sindhupalchok,Sindhupalchok,Natural,Monsoon
Chitwan National Park,Chitwan,Chitwan,Cultural,Monsoon
Chamunda Temple,Sindhupalchok,Sindhupalchok,Wildlife,All Year
Bhairabi Temple,Dolakha,Dolakha,Natural,Spring
Baraha Kshetra,Sunsari,Sunsari,Historical,Spring
Mahaboudha Temple,Kathmandu,Kathmandu,Historical,All Year
Chobhar Gorge,Kathmandu,Kathmandu,Historical,Winter
Maipokhari,Ilam,Ilam,Cultural,Winter
Phulchowki Botanical Garden,Lalitpur,Lalitpur,Adventure,Winter
Simbuwa Khola Valley,Terhathum,Terhathum,Religious,Monsoon
World Peace Pagoda,Kaski,Kaski,Adventure,Winter
Diktel Bazaar,Khotang,Khotang,Wildlife,All Year
Rara Lake,Mugu,Mugu,Adventure,Spring
Champadevi Hill,Kathmandu,Kathmandu,Cultural,All Year
Swayambhunath Stupa,Kathmandu,Kathmandu,Adventure,Monsoon
Manakamana Temple,Gorkha,Gorkha,Cultural,Monsoon
Badimalika Temple,Doti,Doti,Religious,Spring
Panchase Hill,Syangja,Syangja,Religious,Monsoon
Kapuche Glacier Lake,Dolpa,Dolpa,Cultural,Spring
Kapuche Glacier Lake,Dolpa,Dolpa,Natural,All Year
Bishazari Tal,Chitwan,Chitwan,Cultural,Monsoon
International Mountain Museum,Kaski,Kaski,Adventure,Autumn
Kamalbari Lake,Myagdi,Myagdi,Cultural,Spring
Siddha Cave,Bajhang,Bajhang,Cultural,Spring
Baraha Pokhari,Sankhuwasabha,Sankhuwasabha,Adventure,Winter
Kagbeni,Mustang,Mustang,Cultural,Winter
Garden of Dreams,Kathmandu,Kathmandu,Adventure,Autumn
Gupteshwor Cave,Kaski,Kaski,Adventure,Spring
Sandakpur,Ilam,Ilam,Historical,All Year
Nuwakot Palace Complex,Nuwakot,Nuwakot,Cultural,Spring
Mohare Danda,Syangja,Syangja,Natural,Spring
Koshi Tappu Wildlife Reserve,Sunsari,Sunsari,Cultural,Monsoon
Siddha Cave,Bajhang,Bajhang,Natural,Monsoon
Rani Pokhari,Kathmandu,Kathmandu,Cultural,Autumn
Panchthar Tea Garden,Panchthar,Panchthar,Wildlife,Spring
Maipokhari,Ilam,Ilam,Adventure,Winter
Baraha Pokhari,Sankhuwasabha,Sankhuwasabha,Wildlife,Winter
Simikot,Humla,Humla,Adventure,Spring
Trishuli River View,Nuwakot,Nuwakot,Natural,Monsoon
Birgunj Clock Tower,Parsa,Parsa,Cultural,Monsoon
Ramaroshan Wetland,Achham,Achham,Adventure,Spring
Davis Falls,Kaski,Kaski,Wildlife,Autumn
Chobhar Gorge,Kathmandu,Kathmandu,Adventure,Monsoon
Simikot,Humla,Humla,Natural,All Year
Chandragiri Hills,Kathmandu,Kathmandu,Adventure,Spring
Tatopani Hot Spring,Myagdi,Myagdi,Historical,Monsoon
Antu Danda,Ilam,Ilam,Adventure,Autumn
Rani Pokhari,Kathmandu,Kathmandu,Adventure,Monsoon
Trishuli River View,Nuwakot,Nuwakot,Cultural,Autumn
Kapuche Glacier Lake,Dolpa,Dolpa,Religious,Autumn
Gahawa Mai Temple,Kapilvastu,Kapilvastu,Religious,Autumn
Rishikesh Complex (Devghat),Nawalpur,Nawalpur,Wildlife,Winter
Nepalgunj,Banke,Banke,Historical,All Year
Simbuwa Khola Valley,Terhathum,Terhathum,Adventure,Spring
Ramaroshan Wetland,Achham,Achham,Cultural,All Year
Sirubari,Syangja,Syangja,Cultural,Winter
Numbur Cheese Circuit,Ramechhap,Ramechhap,Historical,Spring
Sirubari,Syangja,Syangja,Historical,Autumn
Dhorpatan Hunting Reserve,Baglung,Baglung,Historical,Monsoon
Everest Base Camp,Solukhumbu,Solukhumbu,Adventure,Spring
Mallaj,Myagdi,Myagdi,Historical,Monsoon
Simikot,Humla,Humla,Religious,Winter
Trishuli River View,Nuwakot,Nuwakot,Historical,Winter
Dattatreya Temple,Bhaktapur,Bhaktapur,Wildlife,Spring
Phulchowki Botanical Garden,Lalitpur,Lalitpur,Wildlife,Autumn
Davis Falls,Kaski,Kaski,Cultural,Winter
Gahawa Mai Temple,Kapilvastu,Kapilvastu,Wildlife,Monsoon
Badimalika Temple,Doti,Doti,Natural,Monsoon
Shivapuri Nagarjun National Park,Kathmandu,Kathmandu,Natural,Spring
Maya Devi Temple,Rupandehi,Rupandehi,Historical,Monsoon
Dhulikhel View Tower,Kavrepalanchok,Kavrepalanchok,Wildlife,Winter
Namche Bazaar,Solukhumbu,Solukhumbu,Wildlife,Autumn
Badhaiya Tal,Rukum,Rukum,Wildlife,Winter
Chandragiri Hills,Kathmandu,Kathmandu,Natural,Spring
Gahawa Mai Temple,Kapilvastu,Kapilvastu,Historical,Monsoon
Budhi Gandaki Valley,Gorkha,Gorkha,Wildlife,Monsoon
Deurali Gumba,Syangja,Syangja,Wildlife,Autumn
Khandadevi Temple,Ramechhap,Ramechhap,Religious,Spring
Begnas Lake,Kaski,Kaski,Cultural,Spring
Baraha Pokhari,Sankhuwasabha,Sankhuwasabha,Wildlife,Autumn
Hetauda Martyrs Park,Makwanpur,Makwanpur,Adventure,Spring
Dodhara Chandani Bridge,Kailali,Kailali,Religious,Spring
Musikot,Rukum,Rukum,Historical,Spring
Nagarjun Forest,Kathmandu,Kathmandu,Historical,All Year
Rishikesh Complex (Devghat),Nawalpur,Nawalpur,Wildlife,Monsoon
Khaptad Baba Ashram,Doti,Doti,Historical,Spring
Manaslu Base Camp,Gorkha,Gorkha,Wildlife,Spring
Manakamana Temple,Gorkha,Gorkha,Historical,All Year
Ruru Kshetra,Gulmi,Gulmi,Adventure,All Year
Ringmo Village,Dolpa,Dolpa,Cultural,All Year
Siddha Cave,Bajhang,Bajhang,Religious,Winter
Bhujung Village,Lamjung,Lamjung,Wildlife,All Year
Nyatapola Temple,Bhaktapur,Bhaktapur,Wildlife,All Year
Salpa Pokhari,Dolakha,Dolakha,Wildlife,Monsoon
Balmiki Ashram,Kapilvastu,Kapilvastu,Natural,Spring
Okhaldhunga Memorial Park,Okhaldhunga,Okhaldhunga,Religious,Spring
Balmiki Ashram,Kapilvastu,Kapilvastu,Adventure,Autumn
Madan Ashrit Memorial Park,Chitwan,Chitwan,Historical,Winter
Sailung Danda,Dolakha,Dolakha,Wildlife,Spring
Sisne Himal,Rukum,Rukum,Adventure,Autumn
Janaki Mandir,Dhanusha,Dhanusha,Natural,Winter
Kamalbari Lake,Myagdi,Myagdi,Cultural,Monsoon
Panch Pokhari,Sindhupalchok,Sindhupalchok,Historical,Autumn
Baglung Kalika Temple,Baglung,Baglung,Cultural,Winter
Kamalbari Lake,Myagdi,Myagdi,Wildlife,Winter
Deurali Gumba,Syangja,Syangja,Natural,Autumn
Bandipur,Tanahun,Tanahun,Historical,All Year
Charikot,Dolakha,Dolakha,Adventure,Spring
Tila River Valley,Jumla,Jumla,Historical,Autumn
Tallo Dungeshwor,Dhading,Dhading,Cultural,Winter
Lete,Mustang,Mustang,Wildlife,All Year
Tharu Village,Chitwan,Chitwan,Wildlife,Spring
Sundarijal,Kathmandu,Kathmandu,Wildlife,Autumn
Siddha Gufa,Palpa,Palpa,Natural,All Year
Tila River Valley,Jumla,Jumla,Adventure,Winter
Badimalika Temple,Doti,Doti,Cultural,Spring
Shuklaphanta National Park,Kailali,Kailali,Religious,All Year
Chhanwa Gumba,Sunsari,Sunsari,Religious,Autumn
Swayambhunath Stupa,Kathmandu,Kathmandu,Natural,Autumn
Tsho Rolpa Lake,Ramechhap,Ramechhap,Religious,Monsoon
Chobhar Gorge,Kathmandu,Kathmandu,Historical,All Year
Shree Antu Sunrise Point,Ilam,Ilam,Historical,Spring
Kali Gandaki Gorge,Myagdi,Myagdi,Cultural,Autumn
Chhimkeshwori,Dhading,Dhading,Natural,All Year
Resunga,Gulmi,Gulmi,Adventure,Autumn
Kakrebihar,Kailali,Kailali,Cultural,Winter
Chhintang,Sankhuwasabha,Sankhuwasabha,Cultural,Monsoon
Jakhera Tal,Unknown,Unknown,Natural,Autumn
Lo Manthang,Mustang,Mustang,Wildlife,Spring
Bageshwori Temple,Banke,Banke,Religious,All Year
Tsho Rolpa Lake,Ramechhap,Ramechhap,Religious,All Year
Chandannath Temple,Jajarkot,Jajarkot,Religious,Monsoon
Gupteshwor Cave,Kaski,Kaski,Natural,Spring
Khandadevi Temple,Ramechhap,Ramechhap,Natural,Winter
Janaki Mandir,Dhanusha,Dhanusha,Wildlife,Spring
Jomsom,Mustang,Mustang,Historical,Autumn
Jaleshwor Mahadev Temple,Mahottari,Mahottari,Wildlife,All Year
Dharan Clock Tower,Sunsari,Sunsari,Wildlife,All Year
Sailung,Dolakha,Dolakha,Natural,All Year
Khopra Danda,Syangja,Syangja,Historical,All Year
Janaki Mandir,Dhanusha,Dhanusha,Religious,Winter
World Peace Pagoda,Kaski,Kaski,Wildlife,Winter
Rukumkot,Rukum,Rukum,Wildlife,All Year
Badhaiya Tal,Rukum,Rukum,Natural,Spring
Dhaulagiri Base Camp,Myagdi,Myagdi,Wildlife,Monsoon
Tsho Rolpa Lake,Ramechhap,Ramechhap,Cultural,All Year
Charikot,Dolakha,Dolakha,Cultural,Winter
Bageshwori Temple,Banke,Banke,Natural,All Year
Dhorpatan Valley,Baglung,Baglung,Wildlife,Autumn
Manakamana Temple,Gorkha,Gorkha,Religious,Monsoon
Bhairabi Temple,Dolakha,Dolakha,Historical,Autumn
Boudhanath Stupa,Kathmandu,Kathmandu,Historical,All Year
Thabang Village,Rolpa,Rolpa,Religious,Autumn
Phewa Lake,Kaski,Kaski,Natural,Spring
Kakrebihar,Kailali,Kailali,Cultural,Autumn
Bhaktapur Durbar Square,Bhaktapur,Bhaktapur,Wildlife,Monsoon
Ridi Bazaar,Gulmi,Gulmi,Historical,All Year
Kapilvastu Ruins,Kapilvastu,Kapilvastu,Cultural,Spring
Manakamana Temple,Gorkha,Gorkha,Adventure,Monsoon
Phewa Lake,Kaski,Kaski,Religious,All Year
Bhotekoshi Bungee Jump,Sindhupalchok,Sindhupalchok,Wildlife,Spring
Ram Mandir,Kathmandu,Kathmandu,Wildlife,All Year
Maipokhari,Ilam,Ilam,Religious,Monsoon
Rara Lake,Mugu,Mugu,Adventure,Monsoon
Daunne Hill,Chitwan,Chitwan,Historical,Winter
Resunga,Gulmi,Gulmi,Religious,Autumn
Sailung,Dolakha,Dolakha,Wildlife,Autumn
Chhahara Waterfall,Rukum,Rukum,Adventure,Autumn
Salpa Pokhari,Dolakha,Dolakha,Adventure,All Year
Ringmo Village,Dolpa,Dolpa,Natural,Monsoon
Rukumkot,Rukum,Rukum,Religious,Autumn
Panch Pokhari,Sindhupalchok,Sindhupalchok,Wildlife,Spring
Tansen Bazaar,Palpa,Palpa,Adventure,Monsoon
Khopra Danda,Syangja,Syangja,Adventure,Monsoon
Baundeshwor Cave,Chitwan,Chitwan,Cultural,Monsoon
Lwang Ghalel Village,Lamjung,Lamjung,Religious,Autumn
Khaireni Hill,Chitwan,Chitwan,Adventure,Winter
Shivapuri Nagarjun National Park,Kathmandu,Kathmandu,Religious,Winter
Nagarjun Forest,Kathmandu,Kathmandu,Natural,Spring
Bhedetar View Tower,Dhankuta,Dhankuta,Cultural,Monsoon
Bindhyabasini Temple,Kaski,Kaski,Cultural,Spring
Everest Base Camp,Solukhumbu,Solukhumbu,Religious,Winter
Dodhara Chandani Bridge,Kailali,Kailali,Cultural,Spring
Okhaldhunga Memorial Park,Okhaldhunga,Okhaldhunga,Religious,All Year
Bindhyabasini Temple,Kaski,Kaski,Religious,All Year
Nyatapola Temple,Bhaktapur,Bhaktapur,Natural,Spring
Manakamana Temple,Gorkha,Gorkha,Natural,Spring
Sarangkot,Kaski,Kaski,Adventure,All Year
Kulekhani Reservoir,Makwanpur,Makwanpur,Historical,Autumn
Sandakpur,Ilam,Ilam,Adventure,Autumn
Kali Gandaki Gorge,Myagdi,Myagdi,Cultural,Spring
Khopra Danda,Syangja,Syangja,Cultural,Monsoon
International Mountain Museum,Kaski,Kaski,Religious,Monsoon
Syarpu Lake,Kaski,Kaski,Historical,Autumn
Rara Lake,Mugu,Mugu,Historical,Spring
Nyatapola Temple,Bhaktapur,Bhaktapur,Wildlife,Winter
Pakhure Pokhari,Syangja,Syangja,Historical,Autumn
Chandragiri Hills,Kathmandu,Kathmandu,Natural,Spring
Chhanwa Gumba,Sunsari,Sunsari,Historical,All Year
Jalbire Waterfall,Sindhupalchok,Sindhupalchok,Wildlife,Winter
Bhanbhane Pokhari,Okhaldhunga,Okhaldhunga,Religious,All Year
Gaurishankar Conservation Area,Dolakha,Dolakha,Wildlife,Monsoon
Numbur Cheese Circuit,Ramechhap,Ramechhap,Historical,Monsoon
Baraha Kshetra,Sunsari,Sunsari,Cultural,Spring
Birgunj Clock Tower,Parsa,Parsa,Historical,Autumn
World Peace Pagoda,Kaski,Kaski,Wildlife,Monsoon
Rishikesh Complex (Devghat),Nawalpur,Nawalpur,Natural,All Year
Tila River Valley,Jumla,Jumla,Historical,Monsoon
Khaptad National Park,Doti,Doti,Cultural,Monsoon
Namobuddha,Kavrepalanchok,Kavrepalanchok,Wildlife,Monsoon
Okhaldhunga Memorial Park,Okhaldhunga,Okhaldhunga,Wildlife,Winter
